name,processor,count,duration_seconds,pts_per_sec
baseline,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,69565218,139.37,499140.5467460716
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1,2.5143536428610485e-05,39771.65276011507
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,10,6.343065372978647e-05,157652.48207278195
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,14,0.00010157908804506002,137823.64332498892
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,19,6.313321905003654e-05,300950.9143663569
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,27,8.218123629275296e-05,328542.14925434213
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,39,0.00011586120429756665,336609.65494399826
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,55,0.00014695011001693333,374276.68474465417
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,78,0.0001788264619082667,436177.05773327866
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,110,0.00022503010566446666,488823.48286329553
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,155,0.0007643338894575,202790.95580861147
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,218,0.0007875072259145334,276822.8567640586
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,308,0.0008376498920325334,367695.38554186025
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,434,0.0009139215502784333,474876.6454492495
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,612,0.0010276804426167334,595515.8574796789
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,863,0.0011441775526747668,754253.566662401
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1216,0.0020262845546628002,600113.1465972004
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,1714,0.0029369674436230332,583595.1650473917
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,2415,0.003995594778201633,604415.6462450281
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,3403,0.005810353999543501,585678.6006958202
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,4795,0.007867830668576034,609443.7211455426
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,6757,0.0109508851125525,617027.7498624069
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,9521,0.015608944223003665,609970.7875160727
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,13417,0.0216418136667149,619957.2829995917
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,18905,0.029793736331630336,634529.3450130195
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,26639,0.04137406889069823,643857.3897668791
integer,Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz,37537,0.05732329333376967,654829.7876299199
